late_night_usage,sleep_minutes,total_screen_minutes,social_minutes,doom_scroll_flag,exercise_minutes,resting_heart_rate,pickup_count,stress_label
0,394,96,32,0,50,71,70,0
0,449,116,50,0,57,69,60,0
0,500,127,39,0,70,70,50,0
0,373,128,33,0,49,67,70,0
0,535,720,210,1,12,77,250,2
1,381,122,49,0,62,74,40,1
0,401,541,252,1,12,82,250,2
0,457,498,182,0,29,86,220,2
1,343,632,300,0,10,80,250,2
1,369,513,300,1,24,79,250,2
1,361,118,33,1,52,69,50,2
1,302,76,59,0,48,79,40,2
1,410,394,243,1,32,81,210,2
0,435,211,40,0,53,62,30,0
0,378,88,31,0,49,78,100,0
0,477,436,161,1,33,74,220,2
0,374,309,89,0,27,78,70,2
0,377,364,133,1,25,77,160,2
0,494,368,191,0,43,63,130,2
0,390,551,140,0,27,64,190,2
0,319,155,46,0,53,75,50,1
0,481,97,27,0,43,63,40,0
1,368,720,300,0,11,84,250,2
0,424,60,22,0,70,62,50,0
1,352,98,63,0,53,78,80,2
0,446,127,42,0,63,70,100,0
1,337,720,300,1,9,81,250,2
1,478,225,126,1,67,63,110,2
1,271,99,45,0,46,87,50,2
1,421,177,116,0,33,71,120,1
0,467,95,23,0,63,79,100,0
1,336,439,255,0,31,78,210,2
1,318,208,100,1,43,72,60,2
1,431,60,42,0,59,72,60,0
1,290,720,300,1,6,85,250,0
0,389,60,27,1,54,69,90,0
1,437,77,52,0,59,71,80,0
0,451,426,80,0,38,75,150,1
0,345,75,26,0,45,69,90,1
0,522,332,167,0,46,67,190,2
1,352,520,229,0,19,70,170,2
0,414,136,54,0,42,80,80,0
0,462,396,123,0,41,68,250,2
0,451,144,59,0,52,79,110,0
1,527,655,300,1,21,72,220,2
0,351,539,211,0,17,65,250,2
0,476,71,22,0,54,73,60,0
0,472,235,108,1,46,72,90,1
1,365,395,242,1,34,72,240,2
1,445,435,214,1,35,70,250,2
1,425,472,300,1,32,78,250,2
0,365,292,73,0,37,73,120,2
1,482,89,60,1,56,67,20,1
0,342,60,16,0,52,62,20,2
0,378,164,77,0,45,76,50,1
0,406,191,73,0,32,73,70,1
0,546,301,106,0,50,70,140,1
1,368,481,173,1,25,78,220,2
0,448,364,62,0,32,73,140,1
0,506,297,96,0,42,64,150,1
0,419,199,116,0,49,67,190,1
0,391,650,166,0,13,76,220,2
0,399,60,40,0,47,71,80,0
0,503,60,26,0,54,60,80,0
0,453,277,75,0,46,66,170,1
1,510,440,271,1,32,77,200,2
1,441,415,221,1,31,54,230,1
1,314,192,142,0,53,62,190,2
0,452,343,148,0,42,69,180,2
1,300,128,90,0,52,76,100,2
1,328,81,53,1,59,72,130,2
1,600,720,300,1,18,77,250,2
0,500,149,21,0,48,81,90,0
0,463,179,87,1,53,74,150,1
1,331,180,122,1,45,65,70,2
0,513,129,33,0,53,65,40,0
0,489,377,114,1,31,72,120,2
0,544,251,51,0,60,60,70,0
0,526,211,92,0,52,72,90,0
1,286,90,49,0,48,79,80,2
0,364,157,64,0,38,63,160,1
0,384,109,48,0,53,72,60,0
1,308,720,300,1,12,81,250,2
0,466,119,50,0,56,63,40,0
0,406,532,240,1,23,72,210,2
0,538,233,110,0,54,72,140,1
1,508,113,85,1,55,66,90,0
0,434,376,176,0,37,76,200,2
1,496,716,300,1,11,68,240,2
0,509,671,276,0,12,72,250,2
0,427,305,51,0,36,69,120,0
0,334,109,31,0,54,72,60,1
0,424,107,49,0,49,71,50,0
1,329,425,300,0,30,72,250,2
1,389,77,54,1,45,68,40,1
0,439,74,32,0,40,65,50,0
0,438,211,52,0,36,72,80,0
1,411,588,300,1,17,76,250,2
0,389,194,38,0,30,72,110,1
0,470,720,244,1,18,69,250,2
1,359,515,189,0,22,72,210,2
0,444,152,63,0,49,72,90,0
1,442,177,97,1,51,59,60,1
0,373,79,32,0,61,70,70,0
1,340,468,300,1,26,72,230,2
0,444,121,17,0,45,66,60,0
0,409,266,133,0,38,75,200,2
0,479,61,22,0,59,68,70,0
0,413,89,22,0,60,65,40,0
0,422,236,67,0,48,71,80,0
0,414,90,21,0,50,72,80,0
0,504,539,126,0,26,77,250,2
1,325,60,48,1,60,74,60,2
0,443,60,30,0,39,68,20,0
0,533,474,168,0,33,79,200,2
0,416,339,113,0,30,79,140,1
0,475,382,171,0,38,83,200,2
0,533,100,20,0,69,73,70,0
0,471,153,70,0,52,73,140,0
1,373,373,280,1,41,61,190,2
0,452,129,82,0,43,78,70,0
0,355,248,117,0,29,75,150,0
1,320,646,300,0,10,78,210,2
1,347,335,186,1,41,76,160,2
0,562,83,34,0,66,65,40,0
1,318,486,278,0,20,83,240,2
0,378,176,123,0,37,65,220,2
1,286,521,300,0,19,84,240,2
0,477,373,98,0,38,74,80,0
1,384,720,300,1,13,75,250,2
1,451,348,197,1,35,78,200,2
0,483,696,128,0,10,77,200,0
0,380,671,253,1,16,91,250,2
0,394,342,127,0,39,69,210,2
0,488,329,235,0,39,71,250,2
0,424,496,236,0,30,72,190,2
0,494,172,74,0,45,75,80,0
0,427,501,297,0,23,73,230,2
0,386,268,126,0,57,64,140,1
0,404,282,160,0,48,57,150,1
0,371,315,136,0,30,70,140,2
0,421,410,113,0,33,74,180,1
1,389,366,256,1,29,75,230,2
0,460,441,212,0,33,66,190,2
0,370,720,172,1,10,75,250,0
1,388,720,300,0,12,68,250,2
1,333,456,264,1,27,73,210,2
0,402,470,243,0,33,77,220,2
1,399,720,300,1,11,70,250,2
0,422,188,64,0,53,75,80,0
1,456,490,300,0,27,63,250,2
0,509,429,137,1,36,68,130,2
0,509,720,104,0,22,82,250,2
0,410,546,278,0,30,59,250,2
1,292,320,248,1,44,76,230,2
0,454,302,146,0,31,75,200,2
0,427,120,48,0,45,70,80,0
0,404,79,23,0,65,74,30,0
1,307,591,300,0,20,83,250,2
1,372,486,278,0,25,71,220,2
0,414,194,8,0,42,74,50,2
0,469,114,51,0,39,69,70,0
0,468,159,78,1,51,71,80,1
0,490,720,300,0,17,69,250,2
1,301,186,76,0,38,89,110,2
0,440,60,33,1,49,67,40,0
0,398,339,155,0,38,67,110,2
0,388,184,66,0,56,75,90,1
0,428,467,112,0,31,71,250,2
0,488,357,155,0,33,76,190,2
0,416,63,32,0,68,66,110,0
0,528,398,44,0,39,64,100,0
0,462,168,66,0,67,74,130,0
0,430,533,213,0,26,67,250,2
0,493,444,249,0,26,67,220,2
0,472,102,46,0,53,68,50,0
1,309,91,63,1,33,74,100,2
0,527,431,252,1,34,66,250,2
0,432,316,188,0,47,62,150,2
1,391,162,43,1,48,75,80,2
1,315,696,300,1,9,86,250,2
0,508,247,109,0,47,66,150,1
0,445,60,26,0,60,75,50,0
0,451,114,71,0,52,71,40,0
0,424,184,69,0,60,72,50,0
0,476,60,35,0,53,72,30,0
1,423,695,300,1,14,70,250,2
1,328,720,299,1,8,75,250,2
0,364,577,218,0,21,74,220,2
0,479,93,14,0,41,70,130,0
0,371,173,43,0,41,77,90,1
0,427,141,31,0,50,71,60,0
0,397,60,30,0,58,70,90,0
1,460,434,279,1,37,73,250,2
0,415,95,42,0,61,63,120,0
1,452,345,241,1,36,74,180,2
1,339,191,120,0,49,75,130,2
1,429,458,290,0,25,90,250,2
0,523,333,208,1,26,66,200,2
0,381,195,91,1,35,75,100,2
0,449,182,71,0,51,66,80,0
0,587,357,103,1,46,71,100,1
0,453,60,14,0,53,76,50,0
0,423,114,71,0,54,79,130,0
0,474,96,38,1,65,64,70,0
0,452,628,243,0,19,71,250,2
1,270,720,216,1,5,71,190,2
0,491,63,26,0,70,76,80,0
0,349,279,91,0,31,72,140,2
0,429,93,17,0,54,60,50,0
